Team,Points Allowed,Total Yards Allowed,Turnovers,Interceptions,Year
San Francisco 49ers,277,5110,30,20,2022
Buffalo Bills,286,5106,27,17,2022
Baltimore Ravens,315,5513,25,14,2022
New York Jets,316,5288,16,12,2022
Cincinnati Bengals,322,5371,24,13,2022
Dallas Cowboys,342,5613,33,16,2022
Washington Commanders,343,5178,18,9,2022
Philadelphia Eagles,344,5125,27,17,2022
New Orleans Saints,345,5352,14,7,2022
Pittsburgh Steelers,346,5617,23,20,2022
New England Patriots,347,5474,30,19,2022
Jacksonville Jaguars,350,6006,27,14,2022
Tampa Bay Buccaneers,358,5513,20,10,2022
Denver Broncos,359,5440,23,15,2022
Tennessee Titans,359,5978,20,14,2022
Kansas City Chiefs,369,5579,20,11,2022
Green Bay Packers,371,5721,24,17,2022
New York Giants,371,6089,19,6,2022
Carolina Panthers,374,5953,17,10,2022
Cleveland Browns,381,5631,20,11,2022
Los Angeles Chargers,384,5884,24,14,2022
Los Angeles Rams,384,5798,22,16,2022
Atlanta Falcons,386,6156,17,10,2022
Miami Dolphins,399,5743,14,8,2022
Seattle Seahawks,401,6149,25,14,2022
Las Vegas Raiders,418,6216,13,6,2022
Houston Texans,420,6452,27,16,2022
Minnesota Vikings,427,6608,25,15,2022
Detroit Lions,427,6670,22,12,2022
Indianapolis Colts,427,5678,21,10,2022
Arizona Cardinals,449,5931,20,11,2022
Chicago Bears,463,6390,23,14,2022
Tm,PA,Yds,TO,Int,2023
Baltimore Ravens,280,5123,31,18,2023
Kansas City Chiefs,294,4926,17,8,2023
San Francisco 49ers,298,5167,28,22,2023
Buffalo Bills,311,5222,30,18,2023
Dallas Cowboys,315,5095,26,17,2023
Pittsburgh Steelers,324,5816,27,16,2023
Tampa Bay Buccaneers,325,5852,26,13,2023
New Orleans Saints,327,5562,29,18,2023
Las Vegas Raiders,331,5625,22,13,2023
Green Bay Packers,350,5696,18,7,2023
Houston Texans,353,5622,24,14,2023
New York Jets,355,4969,27,17,2023
Minnesota Vikings,362,5664,22,11,2023
Cleveland Browns,362,4593,28,18,2023
New England Patriots,366,5127,18,10,2023
Tennessee Titans,367,5697,14,6,2023
Jacksonville Jaguars,371,5828,27,16,2023
Atlanta Falcons,373,5458,16,8,2023
Los Angeles Rams,377,5744,15,10,2023
Chicago Bears,379,5511,28,22,2023
Cincinnati Bengals,384,6368,26,17,2023
Miami Dolphins,391,5411,27,15,2023
Detroit Lions,395,5714,23,16,2023
Los Angeles Chargers,398,6170,21,9,2023
Seattle Seahawks,402,6313,19,11,2023
New York Giants,407,6149,31,18,2023
Denver Broncos,413,6303,26,11,2023
Indianapolis Colts,415,5947,24,15,2023
Carolina Panthers,416,4997,11,8,2023
Philadelphia Eagles,428,6054,18,9,2023
Arizona Cardinals,455,6047,17,11,2023
Washington Commanders,518,6612,18,8,2023
