Fantasy Rank,Player,Team,Fantasy Position,Age,Games Played,Games Started,Passes Completed,Passes Attempted,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Yards Per Attempt,Pass Targets,Receptions,Receiving Yards,Receiving Yards Per Reception,Fumbles,Fumbles Lost,Touchdowns,Fantasy PPR Points,Position Rank
1,Saquon Barkley*+,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,43,33,278,8.42,2,1,15,355.3,1
2,Derrick Henry*,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,22,19,193,10.16,3,1,18,336.4,2
3,Jahmyr Gibbs*,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,63,52,517,9.94,1,1,20,362.9,3
4,Lamar Jackson*+,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,0,0,0,,10,5,4,430.4,1
5,Ja'Marr Chase*+,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,175,127,1708,13.45,0,0,17,403,1
6,Bijan Robinson*,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,72,61,431,7.07,1,0,15,341.7,4
7,Josh Jacobs*,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,43,36,342,9.5,4,3,16,293.1,5
8,Josh Allen*,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,0,0,7,,5,2,13,379,2
9,Joe Burrow*,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,0,0,0,,11,5,2,372.8,3
10,Kyren Williams,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,40,34,182,5.35,5,3,16,272.1,6
11,James Cook*,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,38,32,258,8.06,1,0,18,266.7,7
12,Justin Jefferson*+,MIN,WR,25,17,17,1,1,22,0,0,1,3,3,154,103,1533,14.88,1,0,10,317.5,2
13,Baker Mayfield*,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.3,0,0,0,,13,2,3,365.8,4
14,Jonathan Taylor*,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,31,18,136,7.56,4,1,12,244.7,8
15,George Kittle*,SFO,TE,31,15,15,0,0,0,0,0,0,0,,94,78,1106,14.18,0,0,8,236.6,1
16,Jayden Daniels*,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,0,0,0,,5,0,6,355.8,5
17,De'Von Achane,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,87,78,592,7.59,1,0,12,299.9,9
18,Amon-Ra St. Brown*+,DET,WR,25,17,17,1,1,7,1,0,2,6,3,141,115,1263,10.98,1,1,12,316.2,3
19,Brian Thomas*,JAX,WR,22,17,16,0,0,0,0,0,6,48,8,133,87,1282,14.74,0,0,10,284,4
20,Brock Bowers*+,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,153,112,1194,10.66,0,0,5,262.7,2
21,James Conner,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,55,47,414,8.81,4,1,9,253.8,10
22,Joe Mixon*,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,52,36,309,8.58,0,0,12,240.5,11
23,Terry McLaurin*,WAS,WR,29,17,17,0,0,0,0,0,2,2,1,117,82,1096,13.37,1,1,13,267.8,5
24,Trey McBride*,ARI,TE,25,16,16,0,0,0,0,0,1,2,2,147,111,1146,10.32,0,0,4,249.8,3
25,Chase Brown,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,65,54,360,6.67,2,1,11,255,12
26,Drake London,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3,158,100,1271,12.71,0,0,9,280.8,6
27,Chuba Hubbard,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,54,43,171,3.98,4,3,11,241.6,13
28,Jonnu Smith*,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,111,88,884,10.05,2,1,8,222.3,4
29,Mark Andrews,BAL,TE,29,17,13,0,0,0,0,0,4,5,1.25,69,55,673,12.24,0,0,11,188.8,5
30,Bucky Irving,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,52,47,392,8.34,2,1,8,244.4,14
31,Alvin Kamara,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,89,68,543,7.99,1,0,8,265.3,15
32,Aaron Jones,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,62,51,408,8,5,3,7,241.6,16
33,Jared Goff*,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.6,1,1,7,7,6,0,1,324.5,6
34,David Montgomery,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,38,36,341,9.47,2,1,12,221.7,17
35,Mike Evans*,TAM,WR,31,14,14,0,0,0,0,0,0,0,,110,74,1004,13.57,0,0,11,240.4,7
36,Breece Hall,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,76,57,483,8.47,6,2,8,240.9,18
37,Malik Nabers*,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,170,109,1204,11.05,1,0,7,273.6,8
38,Bo Nix,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,1,1,2,2,3,0,5,317.2,7
39,Jalen Hurts,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.2,0,0,0,,9,5,14,315.1,8
40,CeeDee Lamb*,DAL,WR,25,15,15,0,0,0,0,0,14,70,5,152,101,1194,11.82,1,1,6,263.4,9
41,Sam LaPorta,DET,TE,23,16,16,0,0,0,0,0,0,0,,83,60,726,12.1,0,0,7,174.6,6
42,Courtland Sutton,DEN,WR,29,17,13,2,2,30,1,0,0,0,,135,81,1081,13.35,1,1,8,240.3,10
43,Ladd McConkey,LAC,WR,23,16,14,0,0,0,0,0,0,0,,112,82,1149,14.01,2,0,7,240.9,11
44,Tucker Kraft,GNB,TE,24,17,17,0,0,0,0,0,3,6,2,70,50,707,14.14,1,1,7,163.3,7
45,Zach Ertz,WAS,TE,34,17,17,0,0,0,0,0,0,0,,91,66,654,9.91,1,0,7,177.4,8
46,Davante Adams,2TM,WR,32,14,14,0,0,0,0,0,0,0,,141,85,1063,12.51,0,0,8,241.3,12
47,Sam Darnold*,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,0,0,0,,8,4,1,308,9
48,Jameson Williams,DET,WR,23,15,11,0,0,0,0,0,11,61,5.55,91,58,1001,17.26,0,0,8,212.2,13
49,D'Andre Swift,CHI,RB,25,17,17,0,0,0,0,0,253,959,3.79,52,42,386,9.19,2,0,6,214.5,19
50,Jaxon Smith-Njigba*,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.2,137,100,1130,11.3,1,0,6,253,14
51,Jerry Jeudy*,CLE,WR,25,17,16,0,0,0,0,0,0,0,,145,90,1229,13.66,0,0,4,240.9,15
52,Garrett Wilson,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,154,101,1104,10.93,2,2,7,251.9,16
53,Najee Harris,PIT,RB,26,17,17,0,0,0,0,0,263,1043,3.97,48,36,283,7.86,0,0,6,204.6,20
54,Jordan Addison,MIN,WR,22,15,15,0,0,0,0,0,3,20,6.67,99,63,875,13.89,0,0,10,212.5,18
55,A.J. Brown,PHI,WR,27,13,13,0,0,0,0,0,0,0,,97,67,1079,16.1,0,0,7,216.9,17
56,Tee Higgins,CIN,WR,25,12,9,0,0,0,0,0,0,0,,109,73,911,12.48,1,1,10,222.1,19
57,Pat Freiermuth,PIT,TE,26,17,11,0,0,0,0,0,0,0,,78,65,653,10.05,3,2,7,168.3,9
58,Kyler Murray,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,0,0,0,,8,4,5,297.2,10
59,Travis Kelce*,KAN,TE,35,16,16,0,0,0,0,0,1,1,1,133,97,823,8.48,2,1,3,195.4,10
60,Nico Collins*,HOU,WR,25,12,12,0,0,0,0,0,0,0,,99,68,1006,14.79,0,0,7,210.6,20
61,Jayden Reed,GNB,WR,24,17,10,0,0,0,0,0,20,163,8.15,75,55,857,15.58,3,1,7,197,21
62,J.K. Dobbins,LAC,RB,26,13,11,0,0,0,0,0,195,905,4.64,38,32,153,4.78,0,0,9,191.8,21
63,Tony Pollard,TEN,RB,27,16,16,0,0,0,0,0,260,1079,4.15,57,41,238,5.8,2,2,5,200.7,22
64,Rico Dowdle,DAL,RB,26,16,15,0,0,0,0,0,235,1079,4.59,49,39,249,6.38,3,2,5,197.8,23
65,D.J. Moore,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,140,98,966,9.86,1,1,6,238.1,22
66,Tyreek Hill,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,123,81,959,11.84,0,0,6,218.2,23
67,Zay Flowers*,BAL,WR,24,17,15,0,0,0,0,0,9,56,6.22,116,74,1059,14.31,0,0,4,209.5,24
68,Marvin Harrison Jr.,ARI,WR,22,17,16,0,0,0,0,0,0,0,,116,62,885,14.27,1,1,8,196.5,26
69,Calvin Ridley,TEN,WR,30,17,14,0,0,0,0,0,8,55,6.88,120,64,1017,15.89,1,1,5,199.2,25
70,Jauan Jennings,SFO,WR,27,15,10,0,0,0,0,0,0,0,,113,77,975,12.66,1,0,6,210.5,27
71,Justin Herbert,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,0,0,0,,6,2,2,285.4,11
72,DeVonta Smith,PHI,WR,26,13,13,0,0,0,0,0,1,1,1,89,68,833,12.25,0,0,8,199.4,28
73,Jakobi Meyers,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.5,129,87,1027,11.8,0,0,4,218,29
74,Patrick Mahomes,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,1,1,2,2,2,0,2,283,12
75,Brock Purdy,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,0,0,0,,7,3,5,266.9,13
76,Geno Smith,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,0,0,0,,9,0,2,266,14
77,Aaron Rodgers,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,,5,2,0,256.6,15
78,Caleb Williams,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,,10,5,0,254.5,16
79,Jordan Love,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,0,0,0,,4,0,1,233.9,17
80,C.J. Stroud,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,1,0,0,,6,4,0,220.4,18
81,Matthew Stafford,LAR,QB,36,16,16,340,517,3762,20,8,30,41,1.37,0,0,0,,6,2,0,214.6,19
82,Bryce Young,CAR,QB,23,14,12,234,384,2403,15,9,43,249,5.79,0,0,0,,5,2,6,195,20
83,Tua Tagovailoa,MIA,QB,26,11,11,291,399,2867,19,7,17,49,2.88,0,0,0,,7,2,0,181.6,21
